filename,TL,TR,BL,BR
image_001.jpg,N,F,N,M
image_002.jpg,M,F,N,M
image_003.jpg,M,F,N,M
image_004.jpg,M,F,N,M
image_005.jpg,M,M,N,N
image_006.jpg,M,M,N,N
image_007.jpg,F,M,M,N
image_008.jpg,M,M,N,N
image_009.jpg,F,N,M,N
image_010.jpg,M,M,N,N
image_011.jpg,M,M,N,N
image_012.jpg,F,F,M,M
image_013.jpg,F,M,M,N
image_014.jpg,F,F,M,M
image_015.jpg,F,M,M,N
image_016.jpg,F,F,M,M
image_017.jpg,M,M,N,N
image_018.jpg,F,F,M,M
image_019.jpg,M,M,N,N
image_020.jpg,M,M,N,N
image_021.jpg,M,M,N,N
image_022.jpg,F,F,M,M
image_023.jpg,M,M,N,N
image_024.jpg,M,M,N,N
image_025.jpg,M,M,N,N
image_026.jpg,M,M,N,N
image_027.jpg,M,M,N,N
image_028.jpg,M,M,N,N
image_029.jpg,M,M,N,N
image_030.jpg,M,M,N,N
image_031.jpg,M,M,N,N
image_032.jpg,M,M,N,N
image_033.jpg,N,N,N,N
image_034.jpg,N,N,N,N
image_035.jpg,N,M,N,M
image_036.jpg,M,M,N,N
image_037.jpg,M,M,N,N
image_038.jpg,N,N,N,N
image_039.jpg,M,M,N,N
image_040.jpg,N,N,N,N
image_041.jpg,N,N,N,N
image_042.jpg,N,N,N,N
image_043.jpg,N,N,N,N
image_044.jpg,N,N,N,N
image_045.jpg,M,M,N,N
image_046.jpg,M,M,N,N
image_047.jpg,M,M,N,N
image_048.jpg,M,M,N,N
image_049.jpg,F,M,M,N
image_050.jpg,F,M,M,N
image_051.jpg,M,M,N,N
image_052.jpg,M,M,N,N
image_053.jpg,M,M,N,N
image_054.jpg,M,M,N,N
image_055.jpg,M,M,M,M
image_056.jpg,M,M,N,N
image_057.jpg,M,M,N,N
image_058.jpg,M,M,N,N
image_059.jpg,N,N,N,N
image_060.jpg,N,N,N,N
image_061.jpg,N,N,N,N
image_062.jpg,N,N,N,N
image_063.jpg,N,N,N,N
image_064.jpg,N,N,N,N
image_065.jpg,N,N,N,N
image_066.jpg,N,N,N,N
image_067.jpg,N,N,N,N
image_068.jpg,N,N,N,N
image_069.jpg,N,N,N,N
image_070.jpg,N,N,N,N
